twotheta,intensity
10.0001,1628
10.0206,1644
10.041,1656
10.0615,1571
10.082,1537
10.1024,1593
10.1229,1621
10.1433,1604
10.1638,1655
10.1843,1581
10.2047,1572
10.2252,1620
10.2457,1641
10.2661,1540
10.2866,1565
10.3071,1618
10.3275,1562
10.348,1666
10.3685,1494
10.3889,1597
10.4094,1580
10.4298,1565
10.4503,1523
10.4708,1594
10.4912,1575
10.5117,1603
10.5322,1591
10.5526,1619
10.5731,1585
10.5936,1598
10.614,1572
10.6345,1664
10.6549,1522
10.6754,1629
10.6959,1584
10.7163,1551
10.7368,1613
10.7573,1509
10.7777,1489
10.7982,1534
10.8187,1515
10.8391,1520
10.8596,1591
10.88,1565
10.9005,1614
10.921,1584
10.9414,1528
10.9619,1596
10.9824,1560
11.0028,1551
11.0233,1566
11.0438,1611
11.0642,1649
11.0847,1513
11.1052,1571
11.1256,1508
11.1461,1579
11.1665,1591
11.187,1509
11.2075,1525
11.2279,1510
11.2484,1547
11.2689,1493
11.2893,1507
11.3098,1459
11.3303,1525
11.3507,1539
11.3712,1554
11.3916,1514
11.4121,1502
11.4326,1577
11.453,1589
11.4735,1588
11.494,1552
11.5144,1585
11.5349,1494
11.5554,1515
11.5758,1529
11.5963,1566
11.6167,1540
11.6372,1460
11.6577,1545
11.6781,1514
11.6986,1493
11.7191,1590
11.7395,1625
11.76,1546
11.7805,1571
11.8009,1536
11.8214,1545
11.8419,1518
11.8623,1561
11.8828,1523
11.9032,1464
11.9237,1553
11.9442,1486
11.9646,1473
11.9851,1515
12.0056,1577
12.026,1528
12.0465,1553
12.067,1511
12.0874,1522
12.1079,1552
12.1283,1511
12.1488,1571
12.1693,1584
12.1897,1581
12.2102,1512
12.2307,1562
12.2511,1535
12.2716,1531
12.2921,1588
12.3125,1532
12.333,1509
12.3534,1547
12.3739,1567
12.3944,1560
12.4148,1572
12.4353,1513
12.4558,1527
12.4762,1535
12.4967,1464
12.5172,1551
12.5376,1569
12.5581,1504
12.5786,1529
12.599,1575
12.6195,1583
12.6399,1529
12.6604,1600
12.6809,1473
12.7013,1516
12.7218,1548
12.7423,1536
12.7627,1523
12.7832,1494
12.8037,1523
12.8241,1501
12.8446,1531
12.865,1583
12.8855,1443
12.906,1549
12.9264,1593
12.9469,1510
12.9674,1507
12.9878,1528
13.0083,1549
13.0288,1526
13.0492,1541
13.0697,1539
13.0901,1585
13.1106,1527
13.1311,1520
13.1515,1553
13.172,1605
13.1925,1498
13.2129,1477
13.2334,1568
13.2539,1580
13.2743,1521
13.2948,1483
13.3153,1511
13.3357,1519
13.3562,1586
13.3766,1593
13.3971,1567
13.4176,1556
13.438,1532
13.4585,1565
13.479,1554
13.4994,1575
13.5199,1578
13.5404,1534
13.5608,1539
13.5813,1495
13.6017,1533
13.6222,1619
13.6427,1518
13.6631,1581
13.6836,1495
13.7041,1526
13.7245,1576
13.745,1493
13.7655,1543
13.7859,1559
13.8064,1713
13.8268,1556
13.8473,1538
13.8678,1614
13.8882,1513
13.9087,1531
13.9292,1515
13.9496,1593
13.9701,1575
13.9906,1646
14.011,1625
14.0315,1560
14.052,1531
14.0724,1603
14.0929,1552
14.1133,1603
14.1338,1645
14.1543,1524
14.1747,1583
14.1952,1616
14.2157,1571
14.2361,1618
14.2566,1621
14.2771,1554
14.2975,1581
14.318,1594
14.3384,1639
14.3589,1595
14.3794,1618
14.3998,1583
14.4203,1636
14.4408,1550
14.4612,1638
14.4817,1613
14.5022,1575
14.5226,1545
14.5431,1602
14.5635,1681
14.584,1555
14.6045,1563
14.6249,1655
14.6454,1581
14.6659,1611
14.6863,1600
14.7068,1671
14.7273,1590
