twotheta,intensity
5.0001,5622
5.02056,5674
5.04103,5580
5.06149,5608
5.08196,5773
5.10242,5685
5.12288,5631
5.14335,5545
5.16381,5541
5.18428,5594
5.20474,5477
5.2252,5622
5.24567,5456
5.26613,5427
5.28659,5394
5.30706,5410
5.32752,5332
5.34799,5526
5.36845,5305
5.38891,5357
5.40938,5481
5.42984,5267
5.45031,5239
5.47077,5308
5.49123,5294
5.5117,5197
5.53216,5241
5.55263,5348
5.57309,5322
5.59355,5290
5.61402,5263
5.63448,5245
5.65494,5227
5.67541,5196
5.69587,5276
5.71634,5178
5.7368,5215
5.75726,5228
5.77773,5196
5.79819,5194
5.81866,5255
5.83912,5239
5.85958,5150
5.88005,5077
5.90051,5075
5.92098,4995
5.94144,5143
5.9619,5145
5.98237,5090
6.00283,5035
6.02329,4910
6.04376,5081
6.06422,5004
6.08469,5146
6.10515,5119
6.12561,5149
6.14608,4954
6.16654,4995
6.18701,4997
6.20747,5037
6.22793,5033
6.2484,4862
6.26886,5040
6.28933,4962
6.30979,5087
6.33025,5003
6.35072,5050
6.37118,5049
6.39164,5073
6.41211,4947
6.43257,5015
6.45304,4952
6.4735,4944
6.49396,4915
6.51443,5112
6.53489,5071
6.55536,4903
6.57582,4915
6.59628,4947
6.61675,4982
6.63721,5074
6.65768,4959
6.67814,4996
6.6986,5074
6.71907,4962
6.73953,5006
6.75999,4965
6.78046,4709
6.80092,5024
6.82139,4947
6.84185,4945
6.86231,4949
6.88278,4817
6.90324,5065
6.92371,5052
6.94417,4886
6.96463,4884
6.9851,4867
7.00556,4940
7.02603,5048
7.04649,5089
7.06695,4867
7.08742,4935
7.10788,4936
7.12834,5046
7.14881,4775
7.16927,4889
7.18974,4980
7.2102,5064
7.23066,4923
7.25113,4830
7.27159,5013
7.29206,4931
7.31252,5093
7.33298,4994
7.35345,4966
7.37391,4906
7.39438,5018
7.41484,4931
7.4353,4993
7.45577,5042
7.47623,4841
7.49669,5029
7.51716,5027
7.53762,5000
7.55809,4956
7.57855,4932
7.59901,4964
7.61948,4923
7.63994,4901
7.66041,4944
7.68087,4884
7.70133,4862
7.7218,4933
7.74226,5080
7.76273,4924
7.78319,4929
7.80365,4945
7.82412,4954
7.84458,5014
7.86505,4960
7.88551,4870
7.90597,4840
7.92644,4851
7.9469,5042
7.96736,5105
7.98783,4998
8.00829,4959
8.02876,5061
8.04922,4902
8.06968,4940
